path,rel_path,label,samplerate,channels,duration_s,md5
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (2).wav,Aain/1_7_Aain_T1 (2).wav,Aain,16000,1,1.0,73f42df06f2e868745477d29305970f4
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (3).wav,Aain/1_7_Aain_T1 (3).wav,Aain,16000,1,1.0,320fec49058f8b94eec9400759f6e828
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (4).wav,Aain/1_7_Aain_T1 (4).wav,Aain,16000,1,1.0,a1979a7215442ff9811d2f617cdfae1a
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (5).wav,Aain/1_7_Aain_T1 (5).wav,Aain,16000,1,1.0,17a7a734d4087328e687d3b3e9092162
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (6).wav,Aain/1_7_Aain_T1 (6).wav,Aain,16000,1,1.0,c96f2fc87d7935885500c237786317f2
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (7).wav,Aain/1_7_Aain_T1 (7).wav,Aain,16000,1,1.0,e97dae8b476fea7fe0bc6b5fbb8a3df6
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (8).wav,Aain/1_7_Aain_T1 (8).wav,Aain,16000,1,1.0,e3ea5e215b09533d0f0a07a267ca81e8
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1.wav,Aain/1_7_Aain_T1.wav,Aain,16000,1,1.0,2cf5dba16e7daf25057f9f7bd2ea39f2
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (2).wav,Aain/1_7_Aain_T10 (2).wav,Aain,16000,1,1.0,3fdc2e367f8cc246256e3a32bce9d1ee
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (3).wav,Aain/1_7_Aain_T10 (3).wav,Aain,16000,1,1.0,0b432fa8522ee26866e7751eeba40a38
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (4).wav,Aain/1_7_Aain_T10 (4).wav,Aain,16000,1,1.0,30e3ae860d17342b956c98de8f0747fe
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (5).wav,Aain/1_7_Aain_T10 (5).wav,Aain,16000,1,1.0,7574a71dd998bacb81fb26a3c20e342b
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (6).wav,Aain/1_7_Aain_T10 (6).wav,Aain,16000,1,1.0,9cfada3a271915e0227485ddbb7597c4
