label,num_files,total_duration_s,total_duration_h,min_dur_s,max_dur_s,avg_dur_s
Aain,816,816.0,0.2267,1.0,1.0,1.0
Alif,1032,1032.0,0.2867,1.0,1.0,1.0
Ba,848,848.0,0.2356,1.0,1.0,1.0
Dal,696,696.0,0.1933,1.0,1.0,1.0
Daud,656,656.0,0.1822,1.0,1.0,1.0
Faa,864,864.0,0.24,1.0,1.0,1.0
Ghain,656,656.0,0.1822,1.0,1.0,1.0
Haa,984,984.0,0.2733,1.0,1.0,1.0
Hha,808,808.0,0.2244,1.0,1.0,1.0
Jeem,824,824.0,0.2289,1.0,1.0,1.0
Kaaf,856,856.0,0.2378,1.0,1.0,1.0
Kha,784,784.0,0.2178,1.0,1.0,1.0
Laam,792,792.0,0.22,1.0,1.0,1.0
Meem,600,600.0,0.1667,1.0,1.0,1.0
Noon,744,744.0,0.2067,1.0,1.0,1.0
Qauf,832,832.0,0.2311,1.0,1.0,1.0
Raa,816,816.0,0.2267,1.0,1.0,1.0
Saa,800,800.0,0.2222,1.0,1.0,1.0
Saud,696,696.0,0.1933,1.0,1.0,1.0
Seen,672,672.0,0.1867,1.0,1.0,1.0
Sheen,560,560.0,0.1556,1.0,1.0,1.0
Ta,864,864.0,0.24,1.0,1.0,1.0
Tua,864,864.0,0.24,1.0,1.0,1.0
Wao,880,880.0,0.2444,1.0,1.0,1.0
Yaa,912,912.0,0.2533,1.0,1.0,1.0
Zaa,848,848.0,0.2356,1.0,1.0,1.0
Zhal,720,720.0,0.2,1.0,1.0,1.0
Zua,776,776.0,0.2156,1.0,1.0,1.0
