path,label,duration_s,samplerate,channels
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (407).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (314).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (388).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (185).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (143).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (2).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (28).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (19).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T8.wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T60.wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (177).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T3 (2).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T51 (3).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (208).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T82 (3).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (190).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T69 (2).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13 (7).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T2 (7).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (94).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (6).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (3).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (169).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (6).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (43).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (232).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_aain_t20b (7).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (259).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (306).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (52).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (2).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (216).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (224).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (339).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T12 (4).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (373).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T57 (4).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T5 (8).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (146).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (278).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T3 (4).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T28.wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (21).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (207).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (109).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (307).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T58 (3).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (305).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (212).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T40 (8).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (156).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (5).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (400).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T8 (5).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T76 (8).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (95).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (360).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (235).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T81.wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (180).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (289).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14b (4).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (222).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (3).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (228).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T99 (4).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T14 (2).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (11).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (93).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (161).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (124).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (380).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (328).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_aain_t20b (5).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (10).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (322).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (35).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T50 (5).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (61).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (217).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (397).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (164).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (57).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (160).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (266).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T50 (6).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T13b (7).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T76.wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (89).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (120).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (29).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T21 (6).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T1 (7).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T10 (8).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T111 (6).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T46 (5).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T57 (3).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T90 (8).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (404).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (18).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (335).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (356).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (98).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (308).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (325).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T40 (6).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (135).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T137 (2).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Taj_Aain_T (59).wav,Aain,1.0,16000,1
/data1/yansari/Kutuby/Dataset/Aain/1_7_Aain_T70 (2).wav,Aain,1.0,16000,1
