,precision,recall,f1-score,support
Aain,1.0,1.0,1.0,81.0
Alif,1.0,1.0,1.0,103.0
Ba,0.9883720930232558,1.0,0.9941520467836257,85.0
Dal,0.9577464788732394,0.9855072463768116,0.9714285714285714,69.0
Daud,0.9848484848484849,1.0,0.9923664122137404,65.0
Faa,0.6875,0.8850574712643678,0.7738693467336684,87.0
Ghain,1.0,1.0,1.0,65.0
Haa,0.94,0.9494949494949495,0.9447236180904522,99.0
Hha,1.0,0.9876543209876543,0.9937888198757764,81.0
Jeem,1.0,1.0,1.0,83.0
Kaaf,1.0,0.9764705882352941,0.9880952380952381,85.0
Kha,1.0,0.9873417721518988,0.9936305732484076,79.0
Laam,1.0,1.0,1.0,79.0
Meem,1.0,1.0,1.0,60.0
Noon,1.0,1.0,1.0,75.0
Qauf,1.0,0.9879518072289156,0.9939393939393939,83.0
Raa,0.9878048780487805,1.0,0.9938650306748467,81.0
Saa,0.8070175438596491,0.575,0.6715328467153284,80.0
Saud,1.0,1.0,1.0,69.0
Seen,0.8701298701298701,1.0,0.9305555555555556,67.0
Sheen,1.0,0.8214285714285714,0.9019607843137255,56.0
Ta,0.9662921348314607,0.9885057471264368,0.9772727272727273,87.0
Tua,0.9772727272727273,0.9885057471264368,0.9828571428571429,87.0
Wao,1.0,0.9545454545454546,0.9767441860465116,88.0
Yaa,1.0,1.0,1.0,91.0
Zaa,1.0,1.0,1.0,85.0
Zhal,0.9859154929577465,0.9722222222222222,0.9790209790209791,72.0
Zua,0.9868421052631579,0.974025974025974,0.9803921568627451,77.0
accuracy,0.9662009914375845,0.9662009914375845,0.9662009914375845,0.9662009914375845
macro avg,0.969276493182442,0.9654897097219637,0.9657212653474442,2219.0
weighted avg,0.9684177498851247,0.9662009914375845,0.9657122907591243,2219.0
